epoch,g_loss,d_loss,val_l1,lr,time_sec
270,23.298738,0.182314,0.204798,0.00018,43.34
271,23.112372,0.192985,0.207704,0.00017733,43.47
272,23.259935,0.189046,0.211679,0.00017467,43.41
273,23.274558,0.190504,0.208562,0.000172,43.24
274,23.131636,0.210157,0.221123,0.00016933,43.61
275,23.553094,0.178176,0.207805,0.00016667,43.02
276,23.484685,0.177878,0.213122,0.000164,43.23
277,23.139841,0.195592,0.211925,0.00016133,43.28
278,23.466466,0.180361,0.20427,0.00015867,43.4
279,23.528765,0.177634,0.209785,0.000156,42.93
280,23.433329,0.184241,0.202751,0.00015333,43.37
281,22.784205,0.219407,0.213599,0.00015067,43.6
282,23.474011,0.176095,0.208151,0.000148,43.43
283,23.63574,0.176296,0.207359,0.00014533,43.4
284,23.578453,0.174951,0.205644,0.00014267,43.28
285,23.578724,0.188718,0.226,0.00014,43.59
286,23.230438,0.178469,0.210618,0.00013733,43.53
287,23.078545,0.181957,0.209289,0.00013467,43.28
288,23.201855,0.206029,0.21177,0.000132,43.2
289,23.370689,0.182012,0.200264,0.00012933,43.3
290,23.373803,0.176771,0.209746,0.00012667,43.86
291,23.50293,0.177482,0.207342,0.000124,43.38
292,23.908179,0.170955,0.201086,0.00012133,43.29
293,23.765417,0.17149,0.203266,0.00011867,43.52
294,23.10901,0.199113,0.210879,0.000116,43.3
295,23.467393,0.177709,0.206945,0.00011333,43.07
296,23.509628,0.176529,0.209993,0.00011067,43.1
297,23.692792,0.173908,0.212021,0.000108,43.08
298,23.746302,0.172722,0.212248,0.00010533,43.39
299,23.754285,0.172683,0.208339,0.00010267,43.53
300,23.736066,0.176035,0.206116,0.0001,43.64
